"bMF" "bMM" "bMJA" "bMJB" "surv" "delay_f" "m_growth" "delay_j" "mean_hatch" "diff_hatch" "P2" "LHSresults"
"86" 0.00714253923843807 0.00496993103974227 0.0257429240927181 0.00415378670228185 0.0003996 10.899 13.217 10.025 683.8 202.8 0.753 0.53
"87" 0.0116629559296476 0.00591860474384833 0.0177586729337003 0.0142850162921561 9.4e-05 8.733 10.177 11.013 605.8 160.4 0.219 0.13
"88" 0.0106838097070087 0.0132524476289205 0.0271870833522072 0.00289256672659052 0.0002852 16.637 7.555 2.995 353.8 214.8 0.089 0.51
"89" 0.0138840493925781 0.0237161161725145 0.0130204669246139 0.00760405867914914 6.28e-05 18.309 13.749 3.755 581.8 74 0.383 0
"90" 0.00738017127925261 0.0111044594115839 0.00898977661325613 0.00349713620001353 3.4e-05 2.235 18.765 10.443 404.2 387.6 0.537 0
"91" 0.0212293705791807 0.0124155540026464 0.0239520919845069 0.00525896704838706 0.0002036 19.525 12.989 15.725 296.2 317.2 0.231 0
"92" 0.0155889807367295 0.00786209750478965 0.00945576125809791 0.0127138337889183 0.000234 12.951 13.331 1.399 429.4 33.2 0.819 0.49
"93" 0.0278635303856783 0.0112899904012407 0.0098007470715478 0.046859860557411 0.000274 7.403 10.367 10.861 346.6 163.6 0.329 0.02
"94" 0.00845673497819832 0.00730846608543175 0.0111493660909751 0.0223286655204405 0.0003036 13.483 6.415 9.949 555.4 390.8 0.315 0.46
"95" 0.0254692772669244 0.00934816160877404 0.00146336102832983 0.00874035449668496 0.0003764 16.029 1.703 19.525 380.2 254.8 0.045 0.09
"96" 0.00849205168710533 0.00547058616128448 0.00836793410968454 0.0299327763307643 0.000334 9.797 18.651 14.167 274.6 161.2 0.691 0.23
"97" 0.00808887566437412 0.0136941080361026 0.0691525736849836 0.013505312391999 1.16e-05 4.249 17.093 18.613 239.8 390 0.177 0
"98" 0.011453845736608 0.00921360067924505 0.0212620857159157 0.0193244869870529 7.08e-05 12.913 8.391 12.723 631 87.6 0.443 0
"99" 0.0239752081409451 0.0055055453853407 0.00578389420437103 0.00784398301028888 0.000306 2.767 17.511 2.691 190.6 193.2 0.351 0.25
"100" 0.0160450679023258 0.00711274432663145 0.0190883974108129 0.0341470326174458 4.44e-05 19.639 6.149 7.023 669.4 30.8 0.493 0
"101" 0.0109522054113905 0.0175984456218721 0.00743857898517882 0.00275757712887328 0.0001668 10.139 8.353 8.999 209.8 266 0.245 0.01
"102" 0.00772970442690385 0.00567901891464499 0.00331183755123163 0.0306445722216985 0.0001428 12.799 1.133 13.179 412.6 26 0.323 0.17
"103" 0.0312446887424781 0.00351407816240128 0.0308708527151007 0.0216815980915923 0.0001164 3.755 16.219 14.357 373 138.8 0.551 0
"104" 0.0190495195627742 0.00737363122340512 0.00239239570736559 0.0157974104064346 0.0001188 16.903 17.131 4.249 277 8.4 0.047 0
"105" 0.0207862158039003 0.00955129750954207 0.0108718864889411 0.00213852295394771 0.000282 4.857 4.021 15.839 344.2 304.4 0.259 0.09
"106" 0.012784260456051 0.0119777782054062 0.0094130126140243 0.0189881902996423 0.0003196 16.105 19.905 2.387 107.8 314.8 0.629 0.02
"107" 0.017230238889455 0.0111413895756981 0.00796075138651734 0.00622999708190483 0.0002004 2.159 4.287 2.121 185.8 342 0.389 0.29
"108" 0.0129422206904125 0.0124967483985744 0.00181775209832451 0.0214739838611586 0.000302 16.219 13.673 2.083 176.2 71.6 0.287 0.03
"109" 0.0184613657499715 0.00412139327320766 0.0232159258849417 0.017218572568558 0.0002196 12.989 3.831 17.055 655 191.6 0.857 0.14
"110" 0.0114800341474873 0.00897961236364377 0.0129683217038566 0.0133435978840304 0.0002372 5.427 9.721 1.057 617.8 122.8 0.821 0.68
"111" 0.0106296485148554 0.0158885784506557 0.0142731101871676 0.00949804307065188 0.0002884 15.079 14.091 16.105 152.2 395.6 0.281 0.01
"112" 0.0199996694584624 0.00185347222595798 0.00652888011454356 0.00102132346109791 0.0001628 10.177 3.869 6.035 548.2 291.6 0.071 0.34
"113" 0.0198791369050116 0.0342766623414319 0.00759848504564938 0.00603581276940147 0.0003068 5.541 17.891 14.015 685 348.4 0.855 0.08
"114" 0.0210029433293786 0.0197270595389301 0.00523381059536327 0.0154185612130342 0.0002156 6.605 1.855 1.665 268.6 365.2 0.481 0.3
"115" 0.0111380703791098 0.00642208783641205 0.0247417372659716 0.0141709664596747 8.4e-06 7.251 3.489 2.615 145 208.4 0.565 0
"116" 0.0153379393700577 0.0181538920508141 0.0169688908689951 0.00271204141016424 4.6e-05 6.833 18.157 11.051 187 276.4 0.995 0
"117" 0.0118453646627617 0.00638885825462156 0.0132839091499967 0.0226669365401524 0.0003324 14.281 10.595 16.789 247 41.2 0.605 0.11
"118" 0.0162479602617769 0.0188252524993716 0.0294899521681765 0.012010429674604 0.0003268 12.001 7.441 14.433 352.6 67.6 0.003 0.07
